0	2177
0	4529
0	7735
0	8261
0	8271
0	9847
0	10310
0	11127
0	14364
0	14916
0	19070
0	19429
0	20561
0	20748
0	22198
0	24381
0	25702
0	26180
0	33799
0	34815
1	1492
1	1922
1	2109
1	2242
1	2938
1	5083
1	8491
1	8954
1	12172
1	16752
2	389
2	3622
2	4404
2	5158
2	7125
2	8187
2	10443
2	13367
2	13681
2	14514
2	14867
2	16698
2	18902
2	18994
2	19115
2	19462
2	20167
2	20225
2	20414
2	20924
2	21009
2	21387
2	21619
2	22039
2	23837
2	24693
2	25588
2	27766
2	28757
2	28970
2	29471
2	31341
2	32230
2	32232
2	33291
2	33552
3	8957
3	14673
3	16131
3	17615
3	18589
3	19292
3	19651
3	19730
3	20204
3	21598
3	22370
3	22712
3	23788
3	24492
3	27852
3	28124
3	28185
3	28357
3	29883
3	30623
3	31956
3	34263
4	12289
4	17900
4	22783
4	24927
4	26417
4	28206
4	28931
4	33335
4	33914
4	34112
4	34243
5	3000
5	9470
5	11418
5	12585
5	15944
5	17403
5	18111
5	18699
5	21499
5	23787
5	25356
5	31497
6	8065
6	8309
6	10308
6	13222
6	19150
7	200
7	2798
7	6217
7	18612
7	21719
7	24992
7	25415
7	27509
8	4838
8	5834
8	8735
9	10823
9	20825
9	23325
9	23809
10	1722
10	4016
10	4018
11	45
11	4990
11	5790
11	10456
11	13089
11	15534
11	23387
11	26949
11	28886
11	29153
11	30180
11	30742
11	31993
11	33983
11	34619
12	278
12	5133
12	6297
12	11054
12	13424
12	28482
12	30535
12	33376
13	4893
13	6892
13	13973
13	14728
13	14866
13	16733
13	17261
13	17767
13	17922
13	21965
13	24703
13	27259
14	2632
14	4564
14	6034
14	6170
14	7709
14	7750
14	28960
15	1184
15	2425
15	2455
15	2991
15	3829
15	3836
15	4723
15	6206
15	9236
15	10144
15	14350
15	29545
16	5794
16	5824
16	9207
16	10556
16	11273
16	12220
16	13643
17	2447
17	3774
17	12844
17	13244
17	13507
17	14205
17	18509
17	19779
17	30548
17	32303
18	29
18	172
18	187
18	502
18	848
18	2059
18	3146
18	4404
18	4700
18	5270
18	5420
18	5469
18	5902
18	6291
18	6414
18	6443
18	6557
18	6881
18	7520
18	7934
18	7977
18	7979
18	8258
18	8640
18	8991
18	8998
18	9301
18	10102
18	10239
18	12159
18	13580
18	15642
18	20775
18	24803
18	27763
18	30014
